,date,topic,volume,percentage,state,state_abbrev
344,2024-05-31,Nike - Texas State,1283190,41.94157811647115,Texas,TX
345,2024-04-30,Adidas - Texas State,780700,26.07226227887669,Texas,TX
346,2024-04-30,New Balance - Texas State,974200,32.534389537699084,Texas,TX
347,2024-04-30,Nike - Texas State,1239470,41.39334818342423,Texas,TX
348,2024-03-31,Adidas - Texas State,793990,25.170712841029413,Texas,TX
349,2024-03-31,New Balance - Texas State,1040910,32.99845930472163,Texas,TX
350,2024-03-31,Nike - Texas State,1319520,41.83082785424896,Texas,TX
351,2024-02-29,Adidas - Texas State,660690,23.09628433295229,Texas,TX
352,2024-02-29,New Balance - Texas State,927210,32.413243421811586,Texas,TX
353,2024-02-29,Nike - Texas State,1272690,44.49047224523612,Texas,TX
354,2024-01-31,Adidas - Texas State,643170,21.47952470327351,Texas,TX
355,2024-01-31,New Balance - Texas State,952210,31.80032995585004,Texas,TX
356,2024-01-31,Nike - Texas State,1398960,46.72014534087645,Texas,TX
357,2023-12-31,Adidas - Texas State,769260,18.43740113319336,Texas,TX
358,2023-12-31,New Balance - Texas State,1147270,27.49743545495508,Texas,TX
359,2023-12-31,Nike - Texas State,2255750,54.06516341185156,Texas,TX
360,2023-11-30,Adidas - Texas State,782070,20.685249986114087,Texas,TX
361,2023-11-30,New Balance - Texas State,1015710,26.864878161028987,Texas,TX
362,2023-11-30,Nike - Texas State,1983030,52.44987185285693,Texas,TX
363,2023-10-31,Adidas - Texas State,594670,22.328062988814757,Texas,TX
364,2023-10-31,New Balance - Texas State,730950,27.444965513098264,Texas,TX
365,2023-10-31,Nike - Texas State,1337710,50.22697149808698,Texas,TX
366,2023-09-30,Adidas - Texas State,574450,22.97947068612391,Texas,TX
367,2023-09-30,New Balance - Texas State,705820,28.23460701484895,Texas,TX
368,2023-09-30,Nike - Texas State,1219570,48.78592229902714,Texas,TX
369,2023-08-31,Adidas - Texas State,735150,20.677172839957585,Texas,TX
370,2023-08-31,New Balance - Texas State,979560,27.55156284718609,Texas,TX
371,2023-08-31,Nike - Texas State,1840660,51.77126431285632,Texas,TX
